packet_length,src_port,dst_port,protocol,timestamp
54,443,57089,6,1741910969.5629282
55,57018,443,6,1741910969.7141068
66,443,57018,6,1741910969.7141068
153,443,57089,6,1741910970.0317426
450,57089,443,6,1741910970.0317426
54,443,57089,6,1741910970.0475764
60,443,63584,6,1741910970.1175077
54,63584,443,6,1741910970.1175077
167,44191,1900,17,1741910970.172369
100,5353,5353,17,1741910970.250321
1514,443,57089,6,1741910970.2839637
1514,443,57089,6,1741910970.2889864
1514,443,57089,6,1741910970.2900178
1514,443,57089,6,1741910970.2920885
624,443,57089,6,1741910970.2930942
78,57089,443,6,1741910970.2949865
54,57089,443,6,1741910970.2949865
167,43035,1900,17,1741910970.2982798
54,443,57089,6,1741910970.3002825
60,443,57089,6,1741910970.3014069
54,57089,443,6,1741910970.3024168
60,443,63582,6,1741910970.4408035
78,443,63582,6,1741910970.4482694
54,63582,443,6,1741910970.4502974
54,63582,443,6,1741910970.451295
136,5353,5353,17,1741910970.965824
82,58430,1947,17,1741910971.0617244
336,65165,21027,17,1741910971.5883317
167,48007,1900,17,1741910971.8181562
83,56400,53,17,1741910971.8991141
346,68,67,17,1741910971.9100854
297,53,56400,17,1741910971.9170682
66,57091,80,6,1741910971.9188979
66,80,57091,6,1741910971.9199028
54,57091,80,6,1741910971.9208996
256,57091,80,6,1741910971.9218957
54,80,57091,6,1741910971.9228945
1514,80,57091,6,1741910971.9238927
1514,80,57091,6,1741910971.9238927
1514,80,57091,6,1741910971.9295855
1514,80,57091,6,1741910971.931586
1514,80,57091,6,1741910971.93358
1514,80,57091,6,1741910971.936343
1514,80,57091,6,1741910971.9373393
1514,80,57091,6,1741910971.9393303
1514,80,57091,6,1741910971.9413266
1514,80,57091,6,1741910971.9423242
54,57091,80,6,1741910971.943322
54,57091,80,6,1741910971.9446065
1514,80,57091,6,1741910971.9456675
1514,80,57091,6,1741910971.9480188
1514,80,57091,6,1741910971.9492357
1514,80,57091,6,1741910971.9527626
1514,80,57091,6,1741910971.9527626
1514,80,57091,6,1741910971.9527626
1514,80,57091,6,1741910971.9570384
1514,80,57091,6,1741910971.9580784
1514,80,57091,6,1741910971.9591787
1514,80,57091,6,1741910971.960534
1514,80,57091,6,1741910971.961537
1514,80,57091,6,1741910972.0049691
